antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.002,0.968,0.547,0.002
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(1410.6, 2068.8]']",leak_label__1.0,0.057,1.0,0.594,0.057
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(2068.8, 2727.0]']",leak_label__1.0,0.066,0.741,0.447,0.089
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.0,0.0,-1.0,0.011
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(1410.6, 2068.8]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(2068.8, 2727.0]']",leak_label__1.0,0.141,1.0,0.652,0.141
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.035,0.998,0.58,0.035
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-399.6, -277.2]']",leak_label__1.0,0.069,0.995,0.6,0.07
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.028,0.126,-0.761,0.221
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.0,0.0,-1.0,0.074
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-399.6, -277.2]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.037,0.997,0.581,0.037
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.091,0.776,0.49,0.117
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-766.8, -644.4]']",leak_label__1.0,0.0,0.031,-0.931,0.007
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.072,1.0,0.604,0.072
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-766.8, -644.4]']",leak_label__1.0,0.108,0.999,0.628,0.108
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_29__(77.796, 313.2]']",leak_label__1.0,0.005,0.388,-0.119,0.013
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_29__(77.796, 313.2]']",leak_label__1.0,0.007,1.0,0.564,0.007
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.013,0.051,-0.911,0.256
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.12,0.994,0.634,0.121
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_7__(1556.4, 2107.8]']",leak_label__1.0,0.003,0.073,-0.84,0.035
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.026,1.0,0.575,0.026
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_7__(1556.4, 2107.8]']",leak_label__1.0,0.149,1.0,0.659,0.149
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.0,0.0,-1.0,0.134
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.046,0.605,0.296,0.076
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.163,1.0,0.669,0.163
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,-1.0,0.005
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,-1.0,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_10__(209.452, 703.8]']",leak_label__1.0,0.094,0.282,-0.457,0.335
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_10__(209.452, 703.8]']",leak_label__1.0,0.123,0.988,0.634,0.124
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_10__(703.8, 1195.2]']",leak_label__1.0,0.0,0.009,-0.981,0.032
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_10__(703.8, 1195.2]']",leak_label__1.0,0.101,0.999,0.623,0.102
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_2__(5067.6, 6580.8]']",leak_label__1.0,0.053,0.197,-0.628,0.269
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.0,0.0,-1.0,0.05
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(5067.6, 6580.8]']",leak_label__1.0,0.02,0.994,0.569,0.02
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.106,0.785,0.508,0.135
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(8094.0, 9607.2]']",leak_label__1.0,0.002,0.321,-0.27,0.006
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(3554.4, 5067.6]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.034,1.0,0.58,0.034
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(8094.0, 9607.2]']",leak_label__1.0,0.144,1.0,0.654,0.144
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.0,0.0,-1.0,0.22
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.003,0.579,0.242,0.004
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(1540.8, 2239.2]']",leak_label__1.0,0.044,1.0,0.586,0.044
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.079,0.867,0.542,0.091
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.0,0.003,-0.994,0.021
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(1540.8, 2239.2]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.11,1.0,0.63,0.11
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.065,0.999,0.599,0.065
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_11__(148.37, 622.8]']",leak_label__1.0,0.171,1.0,0.676,0.171
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.001,0.019,-0.959,0.054
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_13__(151.2, 277.2]']",leak_label__1.0,0.006,0.936,0.534,0.006
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.117,0.779,0.513,0.15
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.127,1.0,0.641,0.127
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_1__(3730.2, 5293.2]']",leak_label__1.0,0.048,0.987,0.583,0.049
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_1__(5293.2, 6856.2]']",leak_label__1.0,0.049,0.185,-0.651,0.264
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_1__(6856.2, 8419.2]']",leak_label__1.0,0.0,0.0,-1.0,0.051
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_1__(3730.2, 5293.2]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_1__(5293.2, 6856.2]']",leak_label__1.0,0.022,0.995,0.571,0.022
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_1__(6856.2, 8419.2]']",leak_label__1.0,0.104,0.783,0.506,0.133
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_1__(3730.2, 5293.2]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_1__(6856.2, 8419.2]']",leak_label__1.0,0.04,1.0,0.584,0.04
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_12__(218.4, 288.0]']",leak_label__1.0,0.0,0.002,-0.996,0.153
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_12__(288.0, 357.6]']",leak_label__1.0,0.0,0.0,-1.0,0.113
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_12__(78.782, 148.8]']",leak_label__1.0,0.056,1.0,0.594,0.056
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_12__(148.8, 218.4]']",leak_label__1.0,0.018,1.0,0.571,0.018
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_12__(218.4, 288.0]']",leak_label__1.0,0.094,0.999,0.618,0.095
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_12__(288.0, 357.6]']",leak_label__1.0,0.015,0.414,-0.06,0.036
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_12__(78.782, 148.8]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_12__(148.8, 218.4]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_12__(218.4, 288.0]']",leak_label__1.0,0.023,1.0,0.574,0.023
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_12__(288.0, 357.6]']",leak_label__1.0,0.136,1.0,0.649,0.136
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_23__(1021.2, 1563.6]']",leak_label__1.0,0.0,0.0,-1.0,0.151
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_23__(1021.2, 1563.6]']",leak_label__1.0,0.005,1.0,0.563,0.005
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_23__(1021.2, 1563.6]']",leak_label__1.0,0.001,1.0,0.561,0.001
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_23__(1563.6, 2106.0]']",leak_label__1.0,0.006,1.0,0.564,0.006
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_22__(110.4, 144.0]']",leak_label__1.0,0.0,0.001,-0.999,0.191
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_22__(42.998, 76.8]']",leak_label__1.0,0.053,1.0,0.592,0.053
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_22__(76.8, 110.4]']",leak_label__1.0,0.044,0.952,0.564,0.046
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_22__(110.4, 144.0]']",leak_label__1.0,0.095,0.988,0.614,0.096
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_22__(144.0, 177.6]']",leak_label__1.0,0.009,0.265,-0.405,0.033
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_22__(42.998, 76.8]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_22__(76.8, 110.4]']",leak_label__1.0,0.024,1.0,0.574,0.024
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_22__(110.4, 144.0]']",leak_label__1.0,0.041,1.0,0.584,0.041
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_22__(144.0, 177.6]']",leak_label__1.0,0.126,1.0,0.641,0.126
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_22__(76.8, 110.4]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_34__(89.05, 248.4]']",leak_label__1.0,0.003,1.0,0.562,0.003
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_34__(248.4, 406.8]']",leak_label__1.0,0.002,0.218,-0.508,0.011
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_34__(723.6, 882.0]']",leak_label__1.0,0.122,1.0,0.638,0.122
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_34__(89.05, 248.4]']",leak_label__1.0,0.003,1.0,0.562,0.003
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_34__(248.4, 406.8]']",leak_label__1.0,0.007,1.0,0.564,0.007
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_34__(723.6, 882.0]']",leak_label__1.0,0.093,1.0,0.617,0.093
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_34__(89.05, 248.4]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_20__(2233.2, 2952.0]']",leak_label__1.0,0.053,0.198,-0.626,0.269
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_20__(2952.0, 3670.8]']",leak_label__1.0,0.041,0.984,0.577,0.042
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_20__(2233.2, 2952.0]']",leak_label__1.0,0.001,0.07,-0.843,0.015
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_20__(2952.0, 3670.8]']",leak_label__1.0,0.053,0.726,0.425,0.073
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_20__(1514.4, 2233.2]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_20__(2233.2, 2952.0]']",leak_label__1.0,0.007,1.0,0.564,0.007
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_20__(2952.0, 3670.8]']",leak_label__1.0,0.0,0.75,0.414,0.0
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_21__(143.374, 248.4]']",leak_label__1.0,0.051,1.0,0.59,0.051
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_21__(248.4, 352.8]']",leak_label__1.0,0.047,1.0,0.588,0.047
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_21__(352.8, 457.2]']",leak_label__1.0,0.0,0.0,-1.0,0.144
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_21__(143.374, 248.4]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_21__(248.4, 352.8]']",leak_label__1.0,0.018,1.0,0.57,0.018
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_21__(352.8, 457.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_21__(457.2, 561.6]']",leak_label__1.0,0.016,0.474,0.075,0.033
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_21__(248.4, 352.8]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_21__(352.8, 457.2]']",leak_label__1.0,0.019,1.0,0.571,0.019
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_21__(457.2, 561.6]']",leak_label__1.0,0.134,1.0,0.647,0.134
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_31__(-472.169, -376.8]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_31__(-472.169, -376.8]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_31__(2.4, 97.2]']",leak_label__1.0,0.007,0.992,0.561,0.007
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_25__(424.8, 630.0]']",leak_label__1.0,0.033,0.583,0.261,0.057
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_25__(630.0, 835.2]']",leak_label__1.0,0.063,0.209,-0.612,0.3
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_25__(835.2, 1040.4]']",leak_label__1.0,0.0,0.0,-1.0,0.006
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_25__(424.8, 630.0]']",leak_label__1.0,0.001,1.0,0.561,0.001
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_25__(630.0, 835.2]']",leak_label__1.0,0.021,0.755,0.429,0.028
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_25__(835.2, 1040.4]']",leak_label__1.0,0.104,0.795,0.514,0.13
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_25__(424.8, 630.0]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_25__(835.2, 1040.4]']",leak_label__1.0,0.04,0.999,0.583,0.04
