antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1,0.062,0.996,0.596,0.062
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.036,0.991,0.451,0.037
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.098,1.0,0.488,0.098
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.08,1.0,0.478,0.08
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.022,1.0,0.45,0.022
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0,0.037,0.932,0.415,0.039
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.089,0.753,0.291,0.118
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1,0.037,0.915,0.541,0.04
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.043,0.924,0.413,0.046
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0,0.034,0.774,0.289,0.044
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1,0.11,0.768,0.499,0.143
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.068,1.0,0.601,0.068
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0,0.055,1.0,0.465,0.055
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.068,1.0,0.472,0.068
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.042,1.0,0.585,0.042
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__1,0.028,1.0,0.576,0.028
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.099,1.0,0.488,0.099
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.036,0.875,0.375,0.042
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.021,1.0,0.449,0.021
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.082,0.977,0.465,0.084
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.068,0.987,0.465,0.069
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.058,0.952,0.438,0.061
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.07,1.0,0.602,0.07
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.113,0.988,0.489,0.114
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.022,0.849,0.349,0.025
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.057,1.0,0.594,0.057
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.026,1.0,0.452,0.026
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.076,0.975,0.461,0.078
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.02,1.0,0.572,0.02
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.069,0.996,0.47,0.069
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_23__flow_Link_23__(3020.4, 3733.2]']",class__1,0.119,1.0,0.636,0.119
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0,0.083,0.701,0.228,0.118
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_3__demand_Node_3__(230.4, 262.8]']",class__0,0.026,0.706,0.214,0.036
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_22__demand_Node_22__(118.8, 136.8]']",class__0,0.023,0.712,0.22,0.032
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_2__flow_Link_2__(2041.199, 4626.0]']",class__0,0.05,1.0,0.463,0.05
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_2__flow_Link_2__(4626.0, 5634.0]']",class__0,0.069,0.846,0.368,0.081
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_2__flow_Link_2__(4626.0, 5634.0]']",class__0,0.062,1.0,0.469,0.062
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_2__flow_Link_2__(5634.0, 6537.6]']",class__0,0.072,1.0,0.474,0.072
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_2__flow_Link_2__(7923.6, 11120.4]']",class__1,0.064,0.999,0.598,0.064
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_2__flow_Link_2__(6537.6, 7923.6]']",class__0,0.054,0.974,0.449,0.055
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_2__flow_Link_2__(7923.6, 11120.4]']",class__1,0.118,0.948,0.613,0.125
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_18__demand_Node_18__(385.2, 446.4]']",class__0,0.024,0.708,0.216,0.034
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_3__pressure_Node_3__(67.591, 68.328]']",class__0,0.069,0.847,0.368,0.081
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_3__pressure_Node_3__(66.827, 67.591]']",class__0,0.073,0.981,0.464,0.074
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_3__pressure_Node_3__(67.591, 68.328]']",class__0,0.062,1.0,0.469,0.062
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_3__pressure_Node_3__(61.522000000000006, 65.474]']",class__1,0.064,0.999,0.598,0.064
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_3__pressure_Node_3__(66.827, 67.591]']",class__0,0.072,1.0,0.474,0.072
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_3__pressure_Node_3__(61.522000000000006, 65.474]']",class__1,0.118,0.948,0.613,0.125
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_3__pressure_Node_3__(65.474, 66.827]']",class__0,0.054,0.975,0.45,0.056
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_29__flow_Link_29__(1450.8, 1483.2]']",class__1,0.067,1.0,0.6,0.067
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_29__flow_Link_29__(205.2, 262.8]']",class__0,0.056,0.945,0.433,0.059
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1,0.041,1.0,0.584,0.041
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_29__flow_Link_29__(1450.8, 1483.2]']",class__1,0.029,1.0,0.577,0.029
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_29__flow_Link_29__(205.2, 262.8]']",class__0,0.114,0.972,0.48,0.118
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1,0.085,1.0,0.612,0.085
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_29__flow_Link_29__(205.2, 262.8]']",class__0,0.031,1.0,0.454,0.031
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_29__flow_Link_29__(262.8, 1414.8]']",class__0,0.071,0.973,0.458,0.073
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1,0.092,1.0,0.617,0.092
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_29__flow_Link_29__(262.8, 1414.8]']",class__0,0.068,0.714,0.238,0.096
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_30__flow_Link_30__(-248.4, 126.0]']",class__0,0.044,0.991,0.455,0.045
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.069,1.0,0.602,0.069
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_30__flow_Link_30__(126.0, 172.8]']",class__0,0.078,0.963,0.455,0.081
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_30__flow_Link_30__(-324.0, -248.4]']",class__1,0.021,1.0,0.572,0.021
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.049,1.0,0.589,0.049
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_30__flow_Link_30__(126.0, 172.8]']",class__0,0.1,0.994,0.485,0.101
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0,0.036,0.888,0.385,0.041
