antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.206,0.919,0.673,0.225
"['demand_Node_21__(272.88, 360.72]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.136,0.998,0.648,0.136
"['demand_Node_20__(257.04, 370.08]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.003,1.0,0.562,0.003
"['demand_Node_20__(370.08, 483.12]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.144,0.997,0.653,0.144
"['demand_Node_8__(160.56, 213.84]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.146,0.997,0.655,0.147
"['demand_Node_22__(123.84, 164.16]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.154,0.987,0.657,0.157
"['demand_Node_23__(262.08, 353.52]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.132,0.999,0.645,0.132
"['demand_Node_9__(138.96, 181.44]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.131,0.987,0.639,0.132
"['demand_Node_27__(124.56, 157.68]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.063,0.797,0.487,0.079
"['demand_Node_27__(91.44, 124.56]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.141,0.999,0.652,0.141
"['demand_Node_32__(218.16, 289.44]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.132,0.997,0.644,0.132
"['demand_Node_26__(258.48, 339.12]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.122,0.996,0.637,0.123
"['demand_Node_18__(383.04, 516.96]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.124,0.999,0.639,0.124
"['demand_Node_18__(516.96, 650.88]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.081,0.835,0.524,0.097
"['demand_Node_30__(103.68, 137.52]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.155,0.991,0.659,0.156
"['demand_Node_24__(154.08, 225.36]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.004,1.0,0.563,0.004
"['demand_Node_24__(225.36, 296.64]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.153,0.991,0.658,0.154
"['demand_Node_25__(30.96, 43.92]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.012,1.0,0.567,0.012
"['demand_Node_25__(43.92, 56.88]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.142,0.985,0.647,0.144
"['demand_Node_31__(27.36, 37.44]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.13,0.998,0.643,0.13
"['demand_Node_31__(37.44, 47.52]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.076,0.818,0.51,0.093
"['demand_Node_19__(15.12, 20.88]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.071,1.0,0.603,0.071
"['demand_Node_19__(20.88, 26.64]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.133,0.901,0.601,0.148
"['demand_Node_19__(9.36, 15.12]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.002,1.0,0.561,0.002
"['demand_Node_2__(177.12, 242.64]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.005,1.0,0.563,0.005
"['demand_Node_2__(242.64, 308.16]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.146,0.991,0.652,0.147
"['demand_Node_14__(180.72, 244.08]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.135,0.999,0.647,0.135
"['demand_Node_28__(48.24, 71.28]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.002,1.0,0.561,0.002
"['demand_Node_28__(71.28, 94.32]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.134,0.999,0.646,0.134
"['demand_Node_29__(126.0, 158.4]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.114,0.89,0.58,0.128
"['demand_Node_29__(93.6, 126.0]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.09,0.999,0.616,0.09
"['demand_Node_15__(80.64, 106.56]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.131,0.999,0.644,0.131
"['demand_Node_3__(224.64, 297.36]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.12,0.998,0.636,0.12
"['demand_Node_3__(297.36, 370.08]', 'demand_Node_1__(-9669.6, -7794.0]']",leak_label__1.0,0.085,0.844,0.533,0.101
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_17__(214.56, 289.44]']",leak_label__1.0,0.15,0.999,0.659,0.15
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_16__(85.68, 112.32]']",leak_label__1.0,0.154,0.99,0.658,0.155
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_4__(33.84, 45.36]']",leak_label__1.0,0.109,0.999,0.629,0.109
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_4__(45.36, 56.88]']",leak_label__1.0,0.095,0.867,0.553,0.109
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_12__(154.8, 201.6]']",leak_label__1.0,0.096,0.999,0.62,0.096
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_13__(246.24, 329.76]']",leak_label__1.0,0.143,0.994,0.651,0.144
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_5__(201.6, 266.4]']",leak_label__1.0,0.141,0.998,0.651,0.141
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_7__(380.88, 493.92]']",leak_label__1.0,0.12,0.996,0.635,0.12
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_11__(138.96, 181.44]']",leak_label__1.0,0.122,1.0,0.638,0.122
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_11__(96.48, 138.96]']",leak_label__1.0,0.002,1.0,0.561,0.002
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_10__(132.48, 180.72]']",leak_label__1.0,0.14,0.998,0.651,0.14
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_10__(180.72, 228.96]']",leak_label__1.0,0.066,0.813,0.5,0.081
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_6__(211.68, 297.36]']",leak_label__1.0,0.004,1.0,0.563,0.004
"['demand_Node_1__(-9669.6, -7794.0]', 'demand_Node_6__(297.36, 383.04]']",leak_label__1.0,0.135,0.995,0.646,0.136
