antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_6__(608.399, 1512.0]']",leak_label__class_0,0.215,0.879,0.48,0.244
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_14__(-306.001, 39.6]']",leak_label__class_1,0.012,0.833,0.479,0.014
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_14__(126.0, 187.2]']",leak_label__class_1,0.293,1.0,0.792,0.293
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_14__(39.6, 126.0]']",leak_label__class_1,0.011,0.457,0.039,0.025
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_14__(-306.001, 39.6]']",leak_label__class_0,0.271,1.0,0.603,0.271
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_14__(39.6, 126.0]']",leak_label__class_0,0.039,0.567,0.012,0.068
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_28__(-126.001, 86.4]']",leak_label__class_1,0.012,1.0,0.567,0.012
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_28__(266.4, 349.2]']",leak_label__class_1,0.304,1.0,0.805,0.304
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_28__(-126.001, 86.4]']",leak_label__class_0,0.286,1.0,0.616,0.286
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_28__(86.4, 266.4]']",leak_label__class_0,0.024,0.449,-0.207,0.053
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_10__(212.399, 511.2]']",leak_label__class_1,0.008,1.0,0.565,0.008
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_10__(511.2, 651.6]']",leak_label__class_1,0.114,1.0,0.632,0.114
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_10__(651.6, 3160.8]']",leak_label__class_1,0.194,0.925,0.664,0.209
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_10__(212.399, 511.2]']",leak_label__class_0,0.206,0.875,0.47,0.235
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_10__(511.2, 651.6]']",leak_label__class_0,0.104,1.0,0.491,0.104
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_2__(2041.199, 5367.6]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_2__(5367.6, 6988.8]']",leak_label__class_1,0.027,1.0,0.576,0.027
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_2__(6988.8, 11120.4]']",leak_label__class_1,0.289,0.948,0.771,0.304
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_2__(2041.199, 5367.6]']",leak_label__class_0,0.258,0.898,0.528,0.288
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_2__(5367.6, 6988.8]']",leak_label__class_0,0.052,1.0,0.464,0.052
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_3__(2552.4, 5032.8]']",leak_label__class_1,0.216,0.932,0.688,0.232
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_3__(2012.4, 2552.4]']",leak_label__class_0,0.097,1.0,0.487,0.097
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_3__(842.399, 2012.4]']",leak_label__class_0,0.213,0.879,0.478,0.242
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_11__(151.19899999999998, 378.0]']",leak_label__class_1,0.01,1.0,0.566,0.01
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_11__(378.0, 482.4]']",leak_label__class_1,0.111,1.0,0.63,0.111
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_11__(482.4, 2980.8]']",leak_label__class_1,0.195,0.926,0.666,0.211
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_11__(151.19899999999998, 378.0]']",leak_label__class_0,0.207,0.875,0.472,0.236
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_11__(378.0, 482.4]']",leak_label__class_0,0.103,1.0,0.49,0.103
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_13__(-226.80100000000002, 223.2]']",leak_label__class_1,0.012,1.0,0.567,0.012
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_13__(223.2, 302.4]']",leak_label__class_1,0.013,0.974,0.556,0.013
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_13__(302.4, 529.2]']",leak_label__class_1,0.291,0.95,0.774,0.306
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_13__(223.2, 302.4]']",leak_label__class_0,0.052,1.0,0.464,0.052
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_13__(302.4, 529.2]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_1__(2167.1989999999996, 5594.4]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_1__(5594.4, 7257.6]']",leak_label__class_1,0.029,1.0,0.577,0.029
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_1__(7257.6, 11545.2]']",leak_label__class_1,0.286,0.948,0.768,0.302
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_1__(2167.1989999999996, 5594.4]']",leak_label__class_0,0.256,0.897,0.526,0.286
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_1__(5594.4, 7257.6]']",leak_label__class_0,0.053,1.0,0.465,0.053
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_12__(291.6, 496.8]']",leak_label__class_0,0.119,1.0,0.499,0.119
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_12__(223.2, 291.6]']",leak_label__class_1,0.12,1.0,0.637,0.12
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_12__(79.199, 223.2]']",leak_label__class_1,0.01,1.0,0.566,0.01
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_12__(291.6, 496.8]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_23__(1443.6, 2566.8]']",leak_label__class_1,0.009,0.359,-0.187,0.024
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_23__(2566.8, 3733.2]']",leak_label__class_1,0.304,1.0,0.805,0.304
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_23__(1443.6, 2566.8]']",leak_label__class_0,0.008,0.217,-0.622,0.038
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_23__(478.79900000000004, 1443.6]']",leak_label__class_0,0.302,1.0,0.63,0.302
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_22__(140.4, 244.8]']",leak_label__class_0,0.114,1.0,0.496,0.114
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_22__(108.0, 140.4]']",leak_label__class_1,0.116,1.0,0.634,0.116
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_22__(43.199000000000005, 108.0]']",leak_label__class_1,0.012,1.0,0.567,0.012
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_22__(108.0, 140.4]']",leak_label__class_0,0.105,1.0,0.491,0.105
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_22__(140.4, 244.8]']",leak_label__class_0,0.002,1.0,0.44,0.002
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_34__(712.8, 1040.4]']",leak_label__class_1,0.304,1.0,0.805,0.304
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_34__(89.999, 320.4]']",leak_label__class_1,0.01,1.0,0.566,0.01
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_34__(320.4, 712.8]']",leak_label__class_0,0.015,0.344,-0.398,0.045
