antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0.0,0.191,0.962,0.521,0.198
"['flow_Link_32__flow_Link_32__(-39.6, 3.6]']",class__0.0,0.184,0.924,0.491,0.199
"['flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0.0,0.185,0.935,0.499,0.198
"['flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0.0,0.191,0.996,0.542,0.192
"['flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1.0,0.166,1.0,0.672,0.166
"['flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1.0,0.245,1.0,0.742,0.245
"['pressure_Node_10__pressure_Node_10__(48.012, 61.122]']",class__1.0,0.18,0.894,0.636,0.201
"['pressure_Node_10__pressure_Node_10__(61.122, 63.248]']",class__0.0,0.095,0.472,-0.19,0.2
"['pressure_Node_10__pressure_Node_10__(63.248, 64.84]']",class__0.0,0.157,0.791,0.364,0.198
"['pressure_Node_10__pressure_Node_10__(64.84, 66.914]']",class__0.0,0.135,0.672,0.208,0.2
"['demand_Node_24__demand_Node_24__(154.8, 219.6]']",class__0.0,0.128,0.63,0.139,0.204
"['demand_Node_24__demand_Node_24__(219.6, 248.4]']",class__0.0,0.129,0.667,0.199,0.193
"['demand_Node_24__demand_Node_24__(248.4, 280.8]']",class__0.0,0.11,0.538,-0.05,0.205
"['demand_Node_24__demand_Node_24__(280.8, 439.2]']",class__0.0,0.067,0.354,-0.418,0.188
"['demand_Node_9__demand_Node_9__(100.8, 140.4]']",class__0.0,0.142,0.641,0.162,0.222
"['demand_Node_9__demand_Node_9__(140.4, 158.4]']",class__0.0,0.126,0.657,0.182,0.192
"['demand_Node_9__demand_Node_9__(158.4, 176.4]']",class__0.0,0.106,0.551,-0.02,0.193
"['demand_Node_9__demand_Node_9__(176.4, 266.4]']",class__0.0,0.06,0.321,-0.478,0.186
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.049,0.92,0.413,0.053
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.069,0.908,0.415,0.076
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.005,0.155,-0.73,0.034
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.0,0.0,-1.0,0.034
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.0,0.059,-0.896,0.006
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.065,0.997,0.469,0.065
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.002,0.038,-0.936,0.06
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.0,0.0,-1.0,0.002
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.006,1.0,0.442,0.006
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.027,0.547,-0.024,0.049
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.0,1.0,0.44,0.0
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.056,0.969,0.447,0.057
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0.0,0.081,0.745,0.279,0.109
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0.0,0.011,0.267,-0.534,0.042
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0.0,0.0,0.0,-1.0,0.015
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0.0,0.044,1.0,0.46,0.044
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0.0,0.088,0.929,0.438,0.095
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0.0,0.005,0.075,-0.873,0.065
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0.0,0.001,1.0,0.44,0.001
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0.0,0.061,0.996,0.466,0.061
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0.0,0.039,0.573,0.024,0.069
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0.0,0.006,1.0,0.442,0.006
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0.0,0.092,0.628,0.126,0.146
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0.0,0.025,0.652,0.147,0.038
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_7__demand_Node_7__(486.0, 720.0]']",class__0.0,0.0,0.667,0.16,0.0
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0.0,0.027,0.68,0.184,0.04
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0.0,0.078,0.656,0.166,0.118
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_7__demand_Node_7__(435.6, 486.0]']",class__0.0,0.03,0.597,0.066,0.051
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0.0,0.001,0.667,0.16,0.002
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0.0,0.029,0.658,0.155,0.045
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_7__demand_Node_7__(435.6, 486.0]']",class__0.0,0.054,0.546,-0.029,0.1
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_7__demand_Node_7__(486.0, 720.0]']",class__0.0,0.018,0.38,-0.333,0.046
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'demand_Node_7__demand_Node_7__(435.6, 486.0]']",class__0.0,0.02,0.498,-0.115,0.041
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'demand_Node_7__demand_Node_7__(486.0, 720.0]']",class__0.0,0.047,0.324,-0.46,0.145
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__0.0,0.0,0.0,-1.0,0.056
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0.0,0.001,0.042,-0.926,0.017
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0.0,0.056,0.986,0.458,0.057
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1.0,0.062,0.996,0.596,0.062
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0.0,0.036,0.991,0.451,0.037
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0.0,0.098,1.0,0.488,0.098
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1.0,0.02,0.689,0.373,0.03
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0.0,0.08,1.0,0.478,0.08
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0.0,0.013,1.0,0.446,0.013
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0.0,0.022,1.0,0.45,0.022
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0.0,0.0,0.04,-0.929,0.002
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__0.0,0.0,0.0,-1.0,0.004
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0.0,0.096,0.665,0.184,0.144
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0.0,0.015,0.452,-0.199,0.033
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0.0,0.011,0.235,-0.592,0.048
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1.0,0.007,1.0,0.564,0.007
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0.0,0.037,0.932,0.415,0.039
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0.0,0.089,0.753,0.291,0.118
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0.0,0.055,0.528,-0.064,0.105
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1.0,0.037,0.915,0.541,0.04
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0.0,0.001,1.0,0.44,0.001
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0.0,0.043,0.924,0.413,0.046
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0.0,0.034,0.774,0.289,0.044
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__0.0,0.033,0.232,-0.622,0.143
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1.0,0.068,1.0,0.601,0.068
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__0.0,0.0,0.0,-1.0,0.002
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0.0,0.055,1.0,0.465,0.055
