antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_17__(-448.56, -301.68]']",leak_label__1,0.102,0.385,-0.162,0.266
"['flow_Link_17__(-742.32, -595.44]']",leak_label__1,0.181,0.879,0.629,0.206
"['demand_Node_7__(267.84, 380.88]']",leak_label__1,0.087,0.388,-0.147,0.224
"['pressure_Node_20__(58.359, 62.005]']",leak_label__1,0.159,0.907,0.625,0.176
"['pressure_Node_20__(62.005, 65.65]']",leak_label__1,0.126,0.314,-0.402,0.401
"['flow_Link_26__(-166.32, -30.96]']",leak_label__1,0.222,0.688,0.532,0.323
"['flow_Link_23__(2431.44, 3082.32]']",leak_label__1,0.203,1.0,0.703,0.203
"['demand_Node_3__(151.92, 224.64]']",leak_label__1,0.076,0.399,-0.112,0.191
"['flow_Link_2__(7488.72, 9304.56]']",leak_label__1,0.211,0.924,0.679,0.228
"['demand_Node_18__(249.12, 383.04]']",leak_label__1,0.08,0.386,-0.148,0.206
"['pressure_Node_3__(64.767, 66.388]']",leak_label__1,0.184,0.812,0.593,0.227
"['flow_Link_29__(1202.4, 1483.2]']",leak_label__1,0.424,1.0,0.973,0.424
"['flow_Link_30__(-443.506, -301.68]']",leak_label__1,0.28,1.0,0.779,0.28
"['flow_Link_32__(-580.183, -462.96]']",leak_label__1,0.424,1.0,0.973,0.424
"['pressure_Node_10__(56.47, 60.698]']",leak_label__1,0.129,0.901,0.598,0.144
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_17__(-448.56, -301.68]']",leak_label__1,0.04,0.235,-0.513,0.169
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_17__(-448.56, -301.68]']",leak_label__1,0.0,0.0,-1.0,0.032
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_17__(-742.32, -595.44]']",leak_label__1,0.118,0.975,0.624,0.121
"['demand_Node_2__(177.12, 242.64]', 'demand_Node_7__(267.84, 380.88]']",leak_label__1,0.069,0.384,-0.151,0.18
"['demand_Node_2__(242.64, 308.16]', 'demand_Node_7__(267.84, 380.88]']",leak_label__1,0.006,0.311,-0.297,0.02
"['demand_Node_2__(177.12, 242.64]', 'pressure_Node_20__(58.359, 62.005]']",leak_label__1,0.041,1.0,0.584,0.041
"['demand_Node_2__(177.12, 242.64]', 'pressure_Node_20__(62.005, 65.65]']",leak_label__1,0.059,0.651,0.357,0.09
"['demand_Node_2__(242.64, 308.16]', 'pressure_Node_20__(58.359, 62.005]']",leak_label__1,0.116,0.99,0.63,0.117
"['demand_Node_2__(242.64, 308.16]', 'pressure_Node_20__(62.005, 65.65]']",leak_label__1,0.004,0.018,-0.968,0.218
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_26__(-166.32, -30.96]']",leak_label__1,0.042,0.95,0.562,0.044
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_26__(-166.32, -30.96]']",leak_label__1,0.158,1.0,0.665,0.158
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_23__(2431.44, 3082.32]']",leak_label__1,0.09,1.0,0.616,0.09
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_23__(2431.44, 3082.32]']",leak_label__1,0.103,1.0,0.625,0.103
"['demand_Node_2__(177.12, 242.64]', 'demand_Node_3__(151.92, 224.64]']",leak_label__1,0.064,0.4,-0.105,0.161
"['demand_Node_2__(242.64, 308.16]', 'demand_Node_3__(151.92, 224.64]']",leak_label__1,0.007,0.453,0.03,0.016
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_2__(7488.72, 9304.56]']",leak_label__1,0.007,1.0,0.564,0.007
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_2__(3857.04, 5672.88]']",leak_label__1,0.0,0.0,-1.0,0.047
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_2__(7488.72, 9304.56]']",leak_label__1,0.15,0.991,0.655,0.151
"['demand_Node_2__(177.12, 242.64]', 'demand_Node_18__(249.12, 383.04]']",leak_label__1,0.068,0.389,-0.138,0.175
"['demand_Node_2__(242.64, 308.16]', 'demand_Node_18__(249.12, 383.04]']",leak_label__1,0.007,0.37,-0.162,0.02
"['demand_Node_2__(177.12, 242.64]', 'pressure_Node_3__(64.767, 66.388]']",leak_label__1,0.022,1.0,0.573,0.022
"['demand_Node_2__(242.64, 308.16]', 'pressure_Node_3__(64.767, 66.388]']",leak_label__1,0.151,0.939,0.633,0.161
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1,0.095,1.0,0.619,0.095
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1,0.177,1.0,0.681,0.177
"['demand_Node_2__(177.12, 242.64]', 'flow_Link_30__(-443.506, -301.68]']",leak_label__1,0.095,1.0,0.619,0.095
"['demand_Node_2__(242.64, 308.16]', 'flow_Link_30__(-443.506, -301.68]']",leak_label__1,0.118,1.0,0.635,0.118
