antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.01,1.0,0.566,0.01
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.068,1.0,0.601,0.068
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.034,1.0,0.58,0.034
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_30__flow_Link_30__(-324.0, -244.8]']",class__1,0.023,1.0,0.573,0.023
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.092,1.0,0.617,0.092
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_30__flow_Link_30__(-324.0, -244.8]']",class__1,0.174,1.0,0.678,0.174
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.003,1.0,0.562,0.003
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.0,0.0,0.0,0.0
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.051,1.0,0.591,0.051
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.064,1.0,0.598,0.064
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.18,1.0,0.684,0.18
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_13_diameter__flow_Link_13_diameter__348.219923471']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_13_length__flow_Link_13_length__853.906805506']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_13_roughness__flow_Link_13_roughness__113.370801256']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_17_diameter__flow_Link_17_diameter__481.354459194']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_17_length__flow_Link_17_length__2002.78859473']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_17_roughness__flow_Link_17_roughness__127.188317114']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_9_diameter__flow_Link_9_diameter__1055.76511909']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_9_length__flow_Link_9_length__766.696628727']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_9_roughness__flow_Link_9_roughness__134.359122776']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_26_diameter__flow_Link_26_diameter__587.312772971']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_26_length__flow_Link_26_length__777.669684609']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_26_roughness__flow_Link_26_roughness__147.062539553']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_23_diameter__flow_Link_23_diameter__1006.03383141']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_23_length__flow_Link_23_length__2795.97472633']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_23_roughness__flow_Link_23_roughness__119.133541402']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_11_diameter__flow_Link_11_diameter__749.134747014']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_11_length__flow_Link_11_length__1372.92841457']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_11_roughness__flow_Link_11_roughness__142.978191141']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_2_diameter__flow_Link_2_diameter__1140.16055647']",class__1,0.196,0.986,0.692,0.199
