antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_25__(52.373, 59.411]']",class__0,0.051,0.299,-0.514,0.171
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_25__(59.411, 61.795]']",class__0,0.022,0.924,0.403,0.024
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_25__(61.795, 64.446]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.06,0.991,0.462,0.061
"['pressure_Node_21__(63.786, 65.501]', 'pressure_Node_31__(61.243, 64.288]']",class__0,0.138,0.989,0.504,0.139
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_19__(64.344, 65.895]']",class__0,0.063,0.405,-0.313,0.156
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_19__(65.895, 66.888]']",class__0,0.0,0.003,-0.995,0.028
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_19__(64.344, 65.895]']",class__0,0.024,0.878,0.372,0.027
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_2__(69.612, 69.724]']",class__0,0.067,0.404,-0.318,0.167
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_2__(69.724, 69.791]']",class__0,0.0,0.012,-0.979,0.02
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_2__(69.791, 69.855]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_14__(61.052, 63.218]']",class__0,0.0,0.005,-0.992,0.035
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_14__(61.052, 63.218]']",class__0,0.122,0.989,0.495,0.123
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_14__(63.218, 65.816]']",class__0,0.0,0.0,-1.0,0.043
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.114,1.0,0.632,0.114
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.073,0.911,0.419,0.08
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.045,1.0,0.587,0.045
