antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_9__demand_Node_9__(96.48, 138.96]']",class__1.0,0.086,0.38,-0.168,0.225
"['flow_Link_13_diameter__flow_Link_13_diameter__(853.736, 854.078]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_13_length__flow_Link_13_length__(348.15, 348.29]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_17_diameter__flow_Link_17_diameter__(2002.388, 2003.189]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_17_length__flow_Link_17_length__(481.258, 481.451]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_9_diameter__flow_Link_9_diameter__(766.543, 766.85]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_9_length__flow_Link_9_length__(1055.554, 1055.976]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_26_diameter__flow_Link_26_diameter__(777.514, 777.825]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_26_length__flow_Link_26_length__(587.195, 587.43]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_23_diameter__flow_Link_23_diameter__(2795.416, 2796.534]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_23_length__flow_Link_23_length__(1005.833, 1006.235]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_11_diameter__flow_Link_11_diameter__(1372.654, 1373.203]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_11_length__flow_Link_11_length__(748.985, 749.285]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_2_diameter__flow_Link_2_diameter__(1215.62, 1216.106]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_2_length__flow_Link_2_length__(1139.933, 1140.389]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_29_diameter__flow_Link_29_diameter__(1625.084, 1625.735]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_29_length__flow_Link_29_length__(409.442, 409.606]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_30_diameter__flow_Link_30_diameter__(1904.169, 1904.931]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_30_length__flow_Link_30_length__(438.308, 438.484]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_32_diameter__flow_Link_32_diameter__(156.591, 156.653]']",class__1.0,0.44,0.44,0.0,1.0
"['flow_Link_32_length__flow_Link_32_length__(322.652, 322.781]']",class__1.0,0.44,0.44,0.0,1.0
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_13__flow_Link_13__(75.6, 226.8]']",class__1.0,0.058,0.337,-0.269,0.173
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_13__flow_Link_13__(226.8, 378.0]']",class__1.0,0.088,0.705,0.43,0.124
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_13__flow_Link_13__(378.0, 529.2]']",class__1.0,0.0,1.0,0.56,0.0
